x^3, x^2, x,   , fitness
8.000000, -219.000000, -379.000000, 583.000000, 52443055356.000000
8.000000, -219.000000, -379.000000, 583.000000, 52443055356.000000
8.000000, -219.000000, -379.000000, 583.000000, 52443055356.000000
0.000000, 82.000000, -581.000000, -67.000000, 2749302416.000000
0.000000, 82.000000, -581.000000, -67.000000, 2749302416.000000
2.000000, 14.000000, -278.000000, -552.000000, 154844052.000000
2.000000, 14.000000, -278.000000, -552.000000, 154844052.000000
2.000000, 14.000000, -278.000000, -552.000000, 154844052.000000
2.000000, 14.000000, -278.000000, -552.000000, 154844052.000000
2.000000, 14.000000, -284.000000, -67.000000, 117605732.000000
2.000000, 14.000000, -284.000000, -67.000000, 117605732.000000
2.000000, 14.000000, -284.000000, -67.000000, 117605732.000000
2.000000, 14.000000, -284.000000, -67.000000, 117605732.000000
2.000000, 14.000000, -284.000000, -67.000000, 117605732.000000
2.000000, 14.000000, -284.000000, 741.000000, 84865572.000000
2.000000, 14.000000, -284.000000, 741.000000, 84865572.000000
2.000000, 14.000000, -284.000000, 820.000000, 84467412.000000
2.000000, 14.000000, -308.000000, 899.000000, 73390292.000000
2.000000, 14.000000, -308.000000, 899.000000, 73390292.000000
2.000000, 14.000000, -308.000000, 911.000000, 72977012.000000
2.000000, 14.000000, -308.000000, 911.000000, 72977012.000000
2.000000, 14.000000, -308.000000, 911.000000, 72977012.000000
2.000000, 14.000000, -312.000000, 937.000000, 72488452.000000
2.000000, 6.000000, -65.000000, 929.000000, 4501552.000000
2.000000, 6.000000, -65.000000, 929.000000, 4501552.000000
2.000000, 6.000000, -65.000000, 929.000000, 4501552.000000
2.000000, 6.000000, -65.000000, 929.000000, 4501552.000000
2.000000, 6.000000, -65.000000, 929.000000, 4501552.000000
2.000000, 6.000000, -65.000000, 929.000000, 4501552.000000
2.000000, 6.000000, -65.000000, 684.000000, 4021352.000000
2.000000, 6.000000, -40.000000, 330.000000, 718852.000000
2.000000, 6.000000, -40.000000, 330.000000, 718852.000000
2.000000, 6.000000, -40.000000, 330.000000, 718852.000000
2.000000, 6.000000, -40.000000, 330.000000, 718852.000000
2.000000, 6.000000, -40.000000, 330.000000, 718852.000000
2.000000, 6.000000, -40.000000, 325.000000, 695652.000000
2.000000, 6.000000, -40.000000, 240.000000, 607252.000000
2.000000, 6.000000, -43.000000, 321.000000, 592432.000000
2.000000, 6.000000, -43.000000, 321.000000, 592432.000000
2.000000, 6.000000, -40.000000, 272.000000, 572692.000000
2.000000, 6.000000, -40.000000, 272.000000, 572692.000000
2.000000, 6.000000, -40.000000, 269.000000, 572452.000000
2.000000, 6.000000, -40.000000, 269.000000, 572452.000000
2.000000, 6.000000, -40.000000, 269.000000, 572452.000000
2.000000, 6.000000, -40.000000, 269.000000, 572452.000000
2.000000, 6.000000, -40.000000, 269.000000, 572452.000000
2.000000, 6.000000, -40.000000, 269.000000, 572452.000000
2.000000, 6.000000, -40.000000, 269.000000, 572452.000000
2.000000, 6.000000, -40.000000, 269.000000, 572452.000000
2.000000, 6.000000, -40.000000, 269.000000, 572452.000000
2.000000, 6.000000, -40.000000, 269.000000, 572452.000000
2.000000, 6.000000, -40.000000, 269.000000, 572452.000000
2.000000, 6.000000, -40.000000, 269.000000, 572452.000000
2.000000, 6.000000, -40.000000, 269.000000, 572452.000000
2.000000, 6.000000, -40.000000, 269.000000, 572452.000000
2.000000, 6.000000, -40.000000, 269.000000, 572452.000000
2.000000, 6.000000, -40.000000, 269.000000, 572452.000000
2.000000, 6.000000, -40.000000, 269.000000, 572452.000000
2.000000, 6.000000, -40.000000, 269.000000, 572452.000000
2.000000, 6.000000, -40.000000, 269.000000, 572452.000000
2.000000, 6.000000, -41.000000, 282.000000, 569672.000000
2.000000, 6.000000, -41.000000, 282.000000, 569672.000000
2.000000, 6.000000, -41.000000, 282.000000, 569672.000000
2.000000, 6.000000, -41.000000, 282.000000, 569672.000000
2.000000, 6.000000, -41.000000, 282.000000, 569672.000000
2.000000, 6.000000, -41.000000, 282.000000, 569672.000000
2.000000, 6.000000, -41.000000, 282.000000, 569672.000000
2.000000, 6.000000, -41.000000, 282.000000, 569672.000000
2.000000, 6.000000, -41.000000, 282.000000, 569672.000000
2.000000, 6.000000, -41.000000, 282.000000, 569672.000000
2.000000, 6.000000, -41.000000, 282.000000, 569672.000000
2.000000, 6.000000, -41.000000, 282.000000, 569672.000000
2.000000, 6.000000, -41.000000, 282.000000, 569672.000000
2.000000, 6.000000, -41.000000, 282.000000, 569672.000000
2.000000, 6.000000, -41.000000, 282.000000, 569672.000000
2.000000, 6.000000, -41.000000, 282.000000, 569672.000000
2.000000, 6.000000, -41.000000, 285.000000, 568112.000000
2.000000, 6.000000, -41.000000, 291.000000, 567152.000000
2.000000, 6.000000, -41.000000, 291.000000, 567152.000000
2.000000, 6.000000, -41.000000, 291.000000, 567152.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
2.000000, 6.000000, -41.000000, 290.000000, 567112.000000
