x^3, x^2, x,   , fitness
3.000000, -57.000000, 322.000000, -393.000000, 7927556116.000000
3.000000, -57.000000, 322.000000, 607.000000, 7063396116.000000
3.000000, -57.000000, 322.000000, 607.000000, 7063396116.000000
3.000000, -57.000000, 993.000000, -393.000000, 311520920.000000
3.000000, -57.000000, 993.000000, -393.000000, 311520920.000000
3.000000, -57.000000, 993.000000, -393.000000, 311520920.000000
3.000000, -57.000000, 874.000000, -608.000000, 209479644.000000
3.000000, -57.000000, 938.000000, -393.000000, 185682900.000000
3.000000, -57.000000, 938.000000, -393.000000, 185682900.000000
3.000000, -57.000000, 938.000000, -393.000000, 185682900.000000
3.000000, -57.000000, 907.000000, -793.000000, 158085256.000000
3.000000, -57.000000, 907.000000, -817.000000, 157550536.000000
3.000000, -57.000000, 949.000000, -877.000000, 149430904.000000
3.000000, -57.000000, 942.000000, -982.000000, 137850076.000000
3.000000, -49.000000, 681.000000, -393.000000, 104996376.000000
3.000000, -49.000000, 681.000000, -982.000000, 95996456.000000
3.000000, -49.000000, 681.000000, -982.000000, 95996456.000000
3.000000, -49.000000, 681.000000, -893.000000, 95576376.000000
3.000000, -49.000000, 681.000000, -893.000000, 95576376.000000
3.000000, -49.000000, 681.000000, -893.000000, 95576376.000000
3.000000, -49.000000, 681.000000, -893.000000, 95576376.000000
3.000000, -49.000000, 681.000000, -893.000000, 95576376.000000
3.000000, -49.000000, 696.000000, -878.000000, 95349036.000000
3.000000, -49.000000, 696.000000, -878.000000, 95349036.000000
3.000000, -49.000000, 683.000000, -835.000000, 95179864.000000
3.000000, -49.000000, 683.000000, -835.000000, 95179864.000000
3.000000, -49.000000, 694.000000, -989.000000, 92924468.000000
3.000000, -49.000000, 694.000000, -989.000000, 92924468.000000
3.000000, -49.000000, 694.000000, -989.000000, 92924468.000000
3.000000, -49.000000, 694.000000, -989.000000, 92924468.000000
3.000000, -49.000000, 694.000000, -989.000000, 92924468.000000
3.000000, -49.000000, 694.000000, -989.000000, 92924468.000000
3.000000, -49.000000, 694.000000, -989.000000, 92924468.000000
3.000000, -49.000000, 694.000000, -989.000000, 92924468.000000
3.000000, -49.000000, 694.000000, -989.000000, 92924468.000000
3.000000, -49.000000, 694.000000, -989.000000, 92924468.000000
3.000000, -49.000000, 694.000000, -989.000000, 92924468.000000
3.000000, -49.000000, 694.000000, -989.000000, 92924468.000000
3.000000, -49.000000, 694.000000, -989.000000, 92924468.000000
3.000000, -49.000000, 694.000000, -997.000000, 92827188.000000
3.000000, -49.000000, 694.000000, -997.000000, 92827188.000000
3.000000, -49.000000, 694.000000, -997.000000, 92827188.000000
3.000000, -49.000000, 694.000000, -997.000000, 92827188.000000
3.000000, -49.000000, 694.000000, -998.000000, 92815388.000000
3.000000, -49.000000, 694.000000, -998.000000, 92815388.000000
3.000000, -49.000000, 694.000000, -999.000000, 92803668.000000
3.000000, -49.000000, 694.000000, -999.000000, 92803668.000000
3.000000, -49.000000, 694.000000, -999.000000, 92803668.000000
3.000000, -49.000000, 694.000000, -999.000000, 92803668.000000
3.000000, -49.000000, 694.000000, -999.000000, 92803668.000000
3.000000, -49.000000, 694.000000, -1000.000000, 92792028.000000
3.000000, -49.000000, 694.000000, -1000.000000, 92792028.000000
3.000000, -49.000000, 694.000000, -1000.000000, 92792028.000000
3.000000, -49.000000, 694.000000, -1000.000000, 92792028.000000
3.000000, -49.000000, 694.000000, -1000.000000, 92792028.000000
3.000000, -49.000000, 694.000000, -1000.000000, 92792028.000000
3.000000, -49.000000, 694.000000, -1000.000000, 92792028.000000
3.000000, -49.000000, 694.000000, -1000.000000, 92792028.000000
3.000000, -49.000000, 694.000000, -1000.000000, 92792028.000000
3.000000, -49.000000, 694.000000, -1000.000000, 92792028.000000
3.000000, -49.000000, 694.000000, -1000.000000, 92792028.000000
3.000000, -49.000000, 694.000000, -1000.000000, 92792028.000000
3.000000, -49.000000, 694.000000, -1000.000000, 92792028.000000
3.000000, -49.000000, 694.000000, -1000.000000, 92792028.000000
3.000000, -49.000000, 694.000000, -1000.000000, 92792028.000000
3.000000, -49.000000, 694.000000, -1000.000000, 92792028.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
3.000000, -49.000000, 693.000000, -1000.000000, 92785304.000000
