x^3, x^2, x,   , fitness
-3.000000, 156.000000, 653.000000, -601.000000, 23710060972.000000
6.000000, -148.000000, 732.000000, -262.000000, 7256351060.000000
6.000000, -148.000000, 732.000000, 313.000000, 7145169060.000000
6.000000, -148.000000, 732.000000, 313.000000, 7145169060.000000
4.000000, -79.000000, 836.000000, 696.000000, 2899840440.000000
4.000000, -79.000000, 745.000000, 696.000000, 1962359532.000000
4.000000, -79.000000, 653.000000, 696.000000, 1387325676.000000
1.000000, 59.000000, -836.000000, 23.000000, 822297076.000000
1.000000, 59.000000, -836.000000, 835.000000, 586297396.000000
1.000000, 45.000000, -219.000000, -575.000000, 356509416.000000
1.000000, 45.000000, -219.000000, -575.000000, 356509416.000000
1.000000, 45.000000, -219.000000, -575.000000, 356509416.000000
1.000000, 59.000000, -693.000000, 23.000000, 141227544.000000
1.000000, 59.000000, -693.000000, 23.000000, 141227544.000000
1.000000, 59.000000, -701.000000, 881.000000, 97588936.000000
1.000000, 59.000000, -701.000000, 881.000000, 97588936.000000
1.000000, 59.000000, -701.000000, 881.000000, 97588936.000000
1.000000, 59.000000, -701.000000, 881.000000, 97588936.000000
1.000000, 59.000000, -701.000000, 881.000000, 97588936.000000
1.000000, 59.000000, -690.000000, 930.000000, 93644892.000000
1.000000, 59.000000, -693.000000, 950.000000, 93468504.000000
1.000000, 59.000000, -693.000000, 950.000000, 93468504.000000
1.000000, 59.000000, -693.000000, 950.000000, 93468504.000000
1.000000, 59.000000, -693.000000, 981.000000, 93059304.000000
1.000000, 59.000000, -693.000000, 981.000000, 93059304.000000
1.000000, 59.000000, -693.000000, 982.000000, 93047384.000000
1.000000, 59.000000, -693.000000, 992.000000, 92932584.000000
1.000000, 59.000000, -693.000000, 992.000000, 92932584.000000
1.000000, 59.000000, -693.000000, 997.000000, 92878184.000000
1.000000, 59.000000, -693.000000, 997.000000, 92878184.000000
1.000000, 59.000000, -693.000000, 997.000000, 92878184.000000
1.000000, 59.000000, -693.000000, 997.000000, 92878184.000000
1.000000, 59.000000, -693.000000, 997.000000, 92878184.000000
1.000000, 59.000000, -693.000000, 999.000000, 92856984.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
1.000000, 59.000000, -693.000000, 1000.000000, 92846504.000000
