x^3, x^2, x,   , fitness
5.000000, -98.000000, 917.000000, 328.000000, 18195925492.000000
5.000000, -98.000000, 917.000000, 328.000000, 18195925492.000000
5.000000, -98.000000, -173.000000, 328.000000, 8191085812.000000
5.000000, -98.000000, -173.000000, 328.000000, 8191085812.000000
3.000000, -53.000000, 894.000000, -424.000000, 338242044.000000
3.000000, -53.000000, 715.000000, -424.000000, 251025368.000000
3.000000, -53.000000, 715.000000, 960.000000, 210003608.000000
3.000000, -53.000000, 828.000000, -424.000000, 140963820.000000
3.000000, -53.000000, 795.000000, -937.000000, 101482248.000000
3.000000, -53.000000, 795.000000, -937.000000, 101482248.000000
3.000000, -53.000000, 795.000000, -937.000000, 101482248.000000
3.000000, -53.000000, 795.000000, -937.000000, 101482248.000000
3.000000, -53.000000, 820.000000, -1000.000000, 93202028.000000
3.000000, -53.000000, 820.000000, -1000.000000, 93202028.000000
3.000000, -53.000000, 820.000000, -1000.000000, 93202028.000000
3.000000, -53.000000, 820.000000, -1000.000000, 93202028.000000
3.000000, -53.000000, 819.000000, -995.000000, 93193624.000000
3.000000, -53.000000, 819.000000, -1000.000000, 92995224.000000
3.000000, -53.000000, 819.000000, -1000.000000, 92995224.000000
3.000000, -53.000000, 819.000000, -1000.000000, 92995224.000000
3.000000, -53.000000, 819.000000, -1000.000000, 92995224.000000
3.000000, -53.000000, 819.000000, -1000.000000, 92995224.000000
3.000000, -53.000000, 817.000000, -997.000000, 92823416.000000
3.000000, -53.000000, 817.000000, -997.000000, 92823416.000000
3.000000, -53.000000, 817.000000, -997.000000, 92823416.000000
3.000000, -53.000000, 817.000000, -997.000000, 92823416.000000
3.000000, -53.000000, 817.000000, -997.000000, 92823416.000000
3.000000, -53.000000, 815.000000, -1000.000000, 92610808.000000
3.000000, -53.000000, 815.000000, -1000.000000, 92610808.000000
3.000000, -53.000000, 815.000000, -1000.000000, 92610808.000000
3.000000, -53.000000, 815.000000, -1000.000000, 92610808.000000
3.000000, -53.000000, 815.000000, -1000.000000, 92610808.000000
3.000000, -53.000000, 815.000000, -1000.000000, 92610808.000000
3.000000, -53.000000, 815.000000, -1000.000000, 92610808.000000
3.000000, -53.000000, 815.000000, -1000.000000, 92610808.000000
3.000000, -53.000000, 815.000000, -1000.000000, 92610808.000000
3.000000, -53.000000, 815.000000, -1000.000000, 92610808.000000
3.000000, -53.000000, 815.000000, -1000.000000, 92610808.000000
3.000000, -53.000000, 815.000000, -1000.000000, 92610808.000000
3.000000, -53.000000, 815.000000, -1000.000000, 92610808.000000
3.000000, -53.000000, 815.000000, -1000.000000, 92610808.000000
3.000000, -53.000000, 815.000000, -1000.000000, 92610808.000000
3.000000, -53.000000, 815.000000, -1000.000000, 92610808.000000
3.000000, -53.000000, 815.000000, -1000.000000, 92610808.000000
3.000000, -53.000000, 815.000000, -1000.000000, 92610808.000000
3.000000, -53.000000, 815.000000, -1000.000000, 92610808.000000
